DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPLT 1,,,,,,,,,,PPLT 2,,,,,,,,,,PPLT 3,,,,,,,,,
,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,
,,,,,,,,,,,,,,,,,,,,,8476,8482,2,"1267, 874","1266, 875",2379,2379,T,T,
,,,,,,,,,,,,,,,,,,,,,8482,8506,3,"1266, 875","1266, 877",2379,2353,T,T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,8506,8536,4,"1266, 877","1265, 880",2353,2353,T,T,
,,,,,,,,,,,,,,,,,,,,,8536,8746,22,"1265, 880","1258, 901",2353,2353,T,E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,7986,7994,4,"1217, 789","1214, 791",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,7994,8000,3,"1214, 791","1214, 793",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,7986,8001,5,"1217, 789","1219, 793",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,8000,8007,3,"1214, 793","1213, 795",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,8028,8029,2,"1276, 807","1277, 807",2280,2280,E,B,
,,,,,,,,,,,,,,,,,,,,,8029,8049,34,"1277, 807","1249, 818",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,8049,8056,4,"1249, 818","1246, 819",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,8049,8070,4,"1249, 818","1248, 821",2280,2280,B,T,
,,,,,,,,,,,,,,,,,,,,,8070,8087,5,"1248, 821","1245, 824",2280,2280,T,T,
,,,,,,,,,,,,,,,,,,,,,8000,8115,41,"1214, 793","1241, 831",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,8115,8120,3,"1241, 831","1239, 832",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,8087,8121,9,"1245, 824","1243, 832",2280,2280,T,B,
,,,,,,,,,,,,,,,,,,,,,8115,8121,3,"1241, 831","1243, 832",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,8121,8132,3,"1243, 832","1244, 834",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,8127,8132,2,"1245, 833","1244, 834",2280,2280,E,B,
,,,,,,,,,,,,,,,,,,,,,8142,8156,3,"1239, 835","1240, 837",2280,2280,E,B,
,,,,,,,,,,,,,,,,,,,,,8132,8157,4,"1244, 834","1243, 837",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,8156,8160,2,"1240, 837","1239, 838",2280,2280,B,B,
,,,,,,,,,,,,,,,,,,,,,8157,8167,3,"1243, 837","1244, 839",2280,2334,B,B,
,,,,,,,,,,,,,,,,,,,,,8029,8170,54,"1277, 807","1302, 839",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,8160,8177,3,"1239, 838","1239, 840",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,8160,8286,40,"1239, 838","1208, 850",2280,2280,B,E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234
